zipcode,state,population,is_sud_rehab_clinic_per_100k,is_sud_rehab_clinic_per_100k_capped_viz
86301,AZ,25115.0,43.7985267768266,28.84452324464674
43215,OH,20761.0,43.350512981070274,28.84452324464674
92663,CA,20812.0,43.2442821449164,28.84452324464674
95202,CA,6949.0,43.171679378327816,28.84452324464674
51632,IA,7024.0,42.710706150341686,28.84452324464674
24016,VA,9371.0,42.684878881656175,28.84452324464674
17921,PA,7038.0,42.62574595055413,28.84452324464674
19123,PA,18793.0,42.56904166444953,28.84452324464674
80631,CO,52336.0,42.0360745949251,28.84452324464674
21601,MD,23945.0,41.76237210273543,28.84452324464674
93701,CA,12037.0,41.53858934950569,28.84452324464674
21851,MD,7229.0,41.49951583898188,28.84452324464674
21214,MD,19344.0,41.35649296939619,28.84452324464674
93301,CA,14518.0,41.328006612481055,28.84452324464674
84111,UT,12162.0,41.111659266568,28.84452324464674
21225,MD,34138.0,41.010018161579474,28.84452324464674
81144,CO,7347.0,40.83299305839118,28.84452324464674
05855,VT,7388.0,40.60638873849486,28.84452324464674
93622,CA,9884.0,40.46944556859571,28.84452324464674
21629,MD,9911.0,40.359196851982645,28.84452324464674
58301,ND,10105.0,39.584364176150416,28.84452324464674
91436,CA,15189.0,39.502271380604384,28.84452324464674
82941,WY,5066.0,39.478878799842086,28.84452324464674
15320,PA,5087.0,39.315903282877926,28.84452324464674
21223,MD,20438.0,39.142773265485864,28.84452324464674
08628,NJ,10310.0,38.797284190106694,28.84452324464674
90021,CA,5192.0,38.52080123266564,28.84452324464674
24482,VA,5200.0,38.46153846153846,28.84452324464674
21204,MD,20967.0,38.15519626079077,28.84452324464674
80246,CO,13265.0,37.69317753486619,28.84452324464674
34949,FL,8027.0,37.37386321166064,28.84452324464674
98402,WA,8053.0,37.25319756612442,28.84452324464674
41175,KY,5378.0,37.18854592785422,28.84452324464674
93728,CA,16191.0,37.057624606262735,28.84452324464674
21224,MD,54266.0,36.85548962517967,28.84452324464674
80530,CO,5428.0,36.84598378776713,28.84452324464674
97444,OR,5471.0,36.55638822884299,28.84452324464674
90211,CA,8260.0,36.31961259079903,28.84452324464674
23230,VA,8263.0,36.30642623744403,28.84452324464674
64145,MO,5518.0,36.24501631025734,28.84452324464674
07442,NJ,11101.0,36.03278983875326,28.84452324464674
59601,MT,30848.0,35.65871369294606,28.84452324464674
08225,NJ,8442.0,35.536602700781806,28.84452324464674
02540,MA,8450.0,35.50295857988166,28.84452324464674
41501,KY,22636.0,35.341933203746244,28.84452324464674
92270,CA,16999.0,35.296193893758456,28.84452324464674
33401,FL,31302.0,35.14152450322663,28.84452324464674
21740,MD,65619.0,35.05082369435682,28.84452324464674
62930,IL,5716.0,34.98950314905528,28.84452324464674
24273,VA,5730.0,34.904013961605585,28.84452324464674
60942,IL,5731.0,34.897923573547374,28.84452324464674
45804,OH,14573.0,34.31002538941879,28.84452324464674
91502,CA,11665.0,34.29061294470639,28.84452324464674
73105,OK,5835.0,34.27592116538132,28.84452324464674
80751,CO,17702.0,33.89447520054232,28.84452324464674
60654,IL,23890.0,33.48681456676434,28.84452324464674
60950,IL,11996.0,33.344448149383126,28.84452324464674
45246,OH,15249.0,32.7890353465801,28.84452324464674
93926,CA,9187.0,32.65483835855013,28.84452324464674
19904,DE,36880.0,32.53796095444685,28.84452324464674
33462,FL,33982.0,32.370078276734745,28.84452324464674
35901,AL,18671.0,32.13539713994965,28.84452324464674
45229,OH,12540.0,31.89792663476874,28.84452324464674
28204,NC,9411.0,31.877590054191902,28.84452324464674
99202,WA,21969.0,31.863079794255544,28.84452324464674
35660,AL,9434.0,31.799872800508798,28.84452324464674
85260,AZ,37967.0,31.60639502726052,28.84452324464674
33316,FL,12669.0,31.573131265293235,28.84452324464674
59501,MT,12676.0,31.55569580309246,28.84452324464674
67214,KS,15936.0,31.37550200803213,28.84452324464674
82201,WY,6395.0,31.27443315089914,28.84452324464674
92675,CA,35203.0,31.24733687469818,28.84452324464674
81611,CO,9637.0,31.13001971567915,28.84452324464674
08103,NJ,12862.0,31.099362463069507,28.84452324464674
82414,WY,16087.0,31.080997078386275,28.84452324464674
99021,WA,9690.0,30.959752321981426,28.84452324464674
19801,DE,16219.0,30.82804118626302,28.84452324464674
33441,FL,29311.0,30.70519600150114,28.84452324464674
34952,FL,42630.0,30.49495660333099,28.84452324464674
81601,CO,16484.0,30.33244358165494,28.84452324464674
60433,IL,16526.0,30.25535519787002,28.84452324464674
80215,CO,19908.0,30.13863773357444,28.84452324464674
80033,CO,26618.0,30.054850101435118,28.84452324464674
07652,NJ,26698.0,29.964791370140084,28.84452324464674
79902,TX,20071.0,29.893876737581582,28.84452324464674
41701,KY,16761.0,29.83115565897023,28.84452324464674
98948,WA,13416.0,29.81514609421586,28.84452324464674
33461,FL,47161.0,29.68554525985454,28.84452324464674
93234,CA,6745.0,29.65159377316531,28.84452324464674
44113,OH,20291.0,29.56975999211473,28.84452324464674
33435,FL,37318.0,29.476392089608233,28.84452324464674
59801,MT,30629.0,29.383917202651084,28.84452324464674
91356,CA,30664.0,29.350378293764678,28.84452324464674
71104,LA,13680.0,29.239766081871345,28.84452324464674
55425,MN,10281.0,29.18004085205719,28.84452324464674
48202,MI,17260.0,28.968713789107763,28.84452324464674
21801,MD,31183.0,28.86187987044223,28.84452324464674
