zipcode,state,population,combined_all_facilities,combined_all_facilities_capped_viz
85008,AZ,59047.0,18,18.0
33406,FL,27663.0,18,18.0
21613,MD,17967.0,18,18.0
75093,TX,48081.0,18,18.0
85206,AZ,36713.0,18,18.0
32216,FL,42847.0,18,18.0
90064,CA,27553.0,18,18.0
91605,CA,54341.0,18,18.0
91403,CA,25329.0,18,18.0
92624,CA,7170.0,18,18.0
90019,CA,62002.0,18,18.0
93436,CA,56730.0,18,18.0
97214,OR,28403.0,18,18.0
92243,CA,49149.0,18,18.0
93706,CA,40965.0,18,18.0
85015,AZ,41436.0,18,18.0
98032,WA,38744.0,18,18.0
80920,CO,39540.0,18,18.0
80011,CO,54254.0,18,18.0
84020,UT,51017.0,18,18.0
93230,CA,68412.0,17,17.0
93277,CA,53196.0,17,17.0
89032,NV,47324.0,17,17.0
33145,FL,29737.0,17,17.0
90210,CA,21134.0,17,17.0
33544,FL,27309.0,17,17.0
45662,OH,27718.0,17,17.0
86314,AZ,39461.0,17,17.0
92108,CA,24266.0,17,17.0
92562,CA,64270.0,17,17.0
84065,UT,49295.0,17,17.0
92102,CA,39783.0,17,17.0
90046,CA,49987.0,17,17.0
80033,CO,26618.0,17,17.0
60016,IL,61888.0,17,17.0
90048,CA,22604.0,17,17.0
97401,OR,45634.0,17,17.0
91606,CA,43955.0,17,17.0
48503,MI,21743.0,17,17.0
33311,FL,69413.0,17,17.0
60644,IL,47239.0,17,17.0
91406,CA,53252.0,17,17.0
33169,FL,42308.0,17,17.0
80907,CO,28806.0,17,17.0
33542,FL,22649.0,17,17.0
33511,FL,56627.0,17,17.0
95661,CA,32847.0,17,17.0
23225,VA,40876.0,16,16.0
44515,OH,27480.0,16,16.0
37421,TN,51686.0,16,16.0
91362,CA,35803.0,16,16.0
70808,LA,32510.0,16,16.0
60628,IL,62832.0,16,16.0
99503,AK,13550.0,16,16.0
33065,FL,59668.0,16,16.0
33126,FL,48751.0,16,16.0
81101,CO,15657.0,16,16.0
92677,CA,64355.0,16,16.0
60506,IL,52011.0,16,16.0
55404,MN,29322.0,16,16.0
92868,CA,27127.0,16,16.0
77450,TX,72977.0,16,16.0
90066,CA,55304.0,16,16.0
95350,CA,55344.0,16,16.0
95670,CA,57988.0,16,16.0
20707,MD,37702.0,16,16.0
20002,DC,69422.0,16,16.0
02860,RI,47894.0,16,16.0
19904,DE,36880.0,16,16.0
89502,NV,47062.0,16,16.0
85301,AZ,67380.0,16,16.0
92352,CA,7038.0,16,16.0
21804,MD,40049.0,16,16.0
92701,CA,48789.0,16,16.0
92707,CA,56456.0,16,16.0
90024,CA,52862.0,16,16.0
25701,WV,22342.0,16,16.0
21239,MD,26605.0,16,16.0
43213,OH,35105.0,15,15.0
80918,CO,47453.0,15,15.0
33411,FL,74206.0,15,15.0
85020,AZ,34534.0,15,15.0
99208,WA,58531.0,15,15.0
78745,TX,59843.0,15,15.0
33321,FL,51011.0,15,15.0
30076,GA,43786.0,15,15.0
28803,NC,34108.0,15,15.0
33025,FL,75455.0,15,15.0
59601,MT,30848.0,15,15.0
33441,FL,29311.0,15,15.0
80111,CO,32672.0,15,15.0
82201,WY,6395.0,15,15.0
33162,FL,45277.0,15,15.0
21221,MD,43381.0,15,15.0
19104,PA,56839.0,15,15.0
21204,MD,20967.0,15,15.0
94103,CA,37843.0,15,15.0
04101,ME,18109.0,15,15.0
04401,ME,44608.0,15,15.0
90068,CA,24361.0,15,15.0
92103,CA,33311.0,15,15.0
92234,CA,51509.0,15,15.0
21401,MD,39308.0,15,15.0
60612,IL,34402.0,15,15.0
40741,KY,23327.0,15,15.0
92704,CA,82841.0,15,15.0
93536,CA,74283.0,15,15.0
70508,LA,40343.0,15,15.0
85122,AZ,55063.0,15,15.0
70433,LA,41423.0,15,15.0
21784,MD,40028.0,15,15.0
20853,MD,30611.0,15,15.0
92705,CA,45902.0,15,15.0
34471,FL,27632.0,15,15.0
84123,UT,39489.0,15,15.0
44035,OH,61921.0,15,15.0
33157,FL,68069.0,14,14.0
90405,CA,27966.0,14,14.0
85042,AZ,45433.0,14,14.0
85719,AZ,46242.0,14,14.0
75231,TX,40754.0,14,14.0
60615,IL,43502.0,14,14.0
60435,IL,48927.0,14,14.0
77380,TX,27651.0,14,14.0
98034,WA,51464.0,14,14.0
93301,CA,14518.0,14,14.0
55337,MN,47333.0,14,14.0
10001,NY,32612.0,14,14.0
98004,WA,39136.0,14,14.0
92805,CA,74633.0,14,14.0
12206,NY,17219.0,14,14.0
94901,CA,43338.0,14,14.0
92501,CA,22017.0,14,14.0
84111,UT,12162.0,14,14.0
62703,IL,28344.0,14,14.0
92673,CA,29642.0,14,14.0
60619,IL,63303.0,14,14.0
48208,MI,8090.0,14,14.0
85014,AZ,26381.0,14,14.0
43215,OH,20761.0,14,14.0
33607,FL,24767.0,14,14.0
23320,VA,60412.0,14,14.0
46410,IN,39471.0,14,14.0
27609,NC,36218.0,14,14.0
33016,FL,45714.0,14,14.0
91411,CA,24984.0,14,14.0
91402,CA,70140.0,14,14.0
90301,CA,36270.0,14,14.0
32256,FL,53611.0,14,14.0
97301,OR,56393.0,14,14.0
85224,AZ,46919.0,14,14.0
80204,CO,35269.0,14,14.0
80222,CO,22381.0,14,14.0
44122,OH,36268.0,14,14.0
85226,AZ,40689.0,14,14.0
80205,CO,34967.0,14,14.0
33020,FL,45044.0,14,14.0
95630,CA,74787.0,14,14.0
93551,CA,56001.0,14,14.0
30338,GA,37650.0,13,13.0
93720,CA,47814.0,13,13.0
80301,CO,25944.0,13,13.0
86001,AZ,37093.0,13,13.0
95628,CA,42824.0,13,13.0
90045,CA,41035.0,13,13.0
93711,CA,37901.0,13,13.0
92121,CA,4658.0,13,13.0
21921,MD,44983.0,13,13.0
80234,CO,29660.0,13,13.0
93454,CA,40994.0,13,13.0
85201,AZ,51187.0,13,13.0
20032,DC,38904.0,13,13.0
92240,CA,40920.0,13,13.0
85308,AZ,66540.0,13,13.0
75243,TX,62273.0,13,13.0
89101,NV,42465.0,13,13.0
85037,AZ,50929.0,13,13.0
77054,TX,24419.0,13,13.0
08060,NJ,25426.0,13,13.0
10459,NY,50984.0,13,13.0
74135,OK,20173.0,13,13.0
98225,WA,49078.0,13,13.0
77477,TX,35520.0,13,13.0
33614,FL,47695.0,13,13.0
85392,AZ,40363.0,13,13.0
21044,MD,44284.0,13,13.0
80215,CO,19908.0,13,13.0
77304,TX,35969.0,13,13.0
29607,SC,44216.0,13,13.0
59102,MT,48133.0,13,13.0
54403,WI,24712.0,13,13.0
82801,WY,25685.0,13,13.0
92054,CA,38667.0,13,13.0
33619,FL,39881.0,13,13.0
94609,CA,23578.0,13,13.0
59101,MT,41522.0,13,13.0
94520,CA,38383.0,13,13.0
77478,TX,24536.0,13,13.0
95817,CA,14270.0,13,13.0
28262,NC,46048.0,13,13.0
21702,MD,46412.0,13,13.0
27610,NC,75164.0,13,13.0
33460,FL,36409.0,13,13.0
87110,NM,38441.0,13,13.0
37027,TN,61370.0,13,13.0
33014,FL,40261.0,13,13.0
43302,OH,54094.0,13,13.0
82901,WY,28005.0,13,13.0
62650,IL,24891.0,13,13.0
85017,AZ,45279.0,13,13.0
91342,CA,96429.0,13,13.0
45417,OH,28079.0,13,13.0
70809,LA,25302.0,13,13.0
32250,FL,30080.0,13,13.0
30024,GA,87115.0,13,13.0
28025,NC,58260.0,13,13.0
33165,FL,54070.0,12,12.0
77479,TX,93180.0,12,12.0
94533,CA,77380.0,12,12.0
54915,WI,43190.0,12,12.0
30269,GA,39481.0,12,12.0
32308,FL,23355.0,12,12.0
60085,IL,71609.0,12,12.0
48202,MI,17260.0,12,12.0
30096,GA,69953.0,12,12.0
28054,NC,40548.0,12,12.0
30236,GA,50446.0,12,12.0
30141,GA,23616.0,12,12.0
63401,MO,21901.0,12,12.0
28403,NC,38134.0,12,12.0
91343,CA,62595.0,12,12.0
32960,FL,21522.0,12,12.0
77006,TX,24129.0,12,12.0
85716,AZ,31521.0,12,12.0
72401,AR,43127.0,12,12.0
97701,OR,42159.0,12,12.0
33436,FL,45230.0,12,12.0
44120,OH,34611.0,12,12.0
77081,TX,48293.0,12,12.0
59701,MT,33937.0,12,12.0
29203,SC,39449.0,12,12.0
78216,TX,40172.0,12,12.0
70119,LA,38048.0,12,12.0
97232,OR,15382.0,12,12.0
96792,HI,51965.0,12,12.0
33432,FL,22061.0,12,12.0
33467,FL,55813.0,12,12.0
85204,AZ,63808.0,12,12.0
29615,SC,38684.0,12,12.0
33612,FL,49452.0,12,12.0
82601,WY,27180.0,12,12.0
83201,ID,38921.0,12,12.0
07728,NJ,56444.0,12,12.0
92780,CA,56034.0,12,12.0
20019,DC,59601.0,12,12.0
