zipcode,state,population,is_substance_abuse_rehab_per_100k,is_substance_abuse_rehab_per_100k_capped_viz
90265,CA,15186.0,349.0056631107599,34.368750585436054
92624,CA,7170.0,237.09902370990238,34.368750585436054
92352,CA,7038.0,213.12872975277068,34.368750585436054
21216,MD,27729.0,180.31663601283853,34.368750585436054
21217,MD,30448.0,174.06726221755122,34.368750585436054
48208,MI,8090.0,173.053152039555,34.368750585436054
07102,NJ,15047.0,166.14607562969363,34.368750585436054
21032,MD,9180.0,152.50544662309366,34.368750585436054
33483,FL,13103.0,145.0049606960238,34.368750585436054
21202,MD,22247.0,143.8396188250101,34.368750585436054
21231,MD,17062.0,134.8024850545071,34.368750585436054
21205,MD,14691.0,129.3308828534477,34.368750585436054
21727,MD,6593.0,121.34081601698772,34.368750585436054
21213,MD,28217.0,120.49473721515399,34.368750585436054
33407,FL,34558.0,112.85375311071242,34.368750585436054
33316,FL,12669.0,110.50595942852632,34.368750585436054
21201,MD,18382.0,108.80208900010881,34.368750585436054
91356,CA,30664.0,104.35690060005217,34.368750585436054
92651,CA,24096.0,103.75166002656042,34.368750585436054
21215,MD,54198.0,103.32484593527437,34.368750585436054
92675,CA,35203.0,102.26401158992132,34.368750585436054
92627,CA,61764.0,102.00116572760831,34.368750585436054
92629,CA,25939.0,96.37996838737037,34.368750585436054
21218,MD,46238.0,95.15982525195726,34.368750585436054
21223,MD,20438.0,92.96408650552891,34.368750585436054
90290,CA,6640.0,90.36144578313254,34.368750585436054
91367,CA,46498.0,86.02520538517786,34.368750585436054
60607,IL,31816.0,84.86296203168217,34.368750585436054
33444,FL,22671.0,83.80750738829342,34.368750585436054
99701,AK,18357.0,81.71269815329302,34.368750585436054
68102,NE,9130.0,76.67031763417306,34.368750585436054
92262,CA,26593.0,75.2077614409807,34.368750585436054
21206,MD,49470.0,74.79280371942592,34.368750585436054
33403,FL,13779.0,72.57420712678714,34.368750585436054
92663,CA,20812.0,72.07380357486066,34.368750585436054
86305,AZ,19555.0,71.59294298133469,34.368750585436054
91302,CA,25468.0,70.67692790953353,34.368750585436054
91364,CA,27071.0,70.18580769088692,34.368750585436054
33408,FL,18965.0,68.54732401792776,34.368750585436054
92648,CA,46691.0,68.53569210340322,34.368750585436054
90069,CA,20584.0,68.01399144966965,34.368750585436054
21214,MD,19344.0,67.20430107526882,34.368750585436054
84111,UT,12162.0,65.7786548265088,34.368750585436054
12572,NY,9258.0,64.80881399870383,34.368750585436054
33462,FL,33982.0,64.74015655346949,34.368750585436054
91301,CA,24790.0,64.5421540943929,34.368750585436054
86301,AZ,25115.0,63.7069480390205,34.368750585436054
92660,CA,36259.0,63.43252709672081,34.368750585436054
92653,CA,30077.0,63.17119393556538,34.368750585436054
41230,KY,12670.0,63.14127861089187,34.368750585436054
85603,AZ,6342.0,63.0715862503942,34.368750585436054
33308,FL,29519.0,60.97767539550798,34.368750585436054
89146,NV,19777.0,60.676543459574255,34.368750585436054
08068,NJ,6628.0,60.350030175015085,34.368750585436054
34984,FL,16721.0,59.80503558399617,34.368750585436054
50129,IA,5040.0,59.52380952380953,34.368750585436054
08755,NJ,28643.0,59.35132493104773,34.368750585436054
