zipcode,state,population,is_sud_rehab_clinic,is_sud_rehab_clinic_capped_viz
28025,NC,58260.0,6,6.0
44113,OH,20291.0,6,6.0
44122,OH,36268.0,6,6.0
92108,CA,24266.0,6,6.0
44130,OH,50825.0,6,6.0
80011,CO,54254.0,6,6.0
98499,WA,33188.0,6,6.0
90303,CA,24490.0,6,6.0
62703,IL,28344.0,6,6.0
60623,IL,87649.0,6,6.0
33411,FL,74206.0,6,6.0
82301,WY,8539.0,6,6.0
78520,TX,64949.0,6,6.0
98032,WA,38744.0,6,6.0
85016,AZ,37326.0,6,6.0
33460,FL,36409.0,6,6.0
97214,OR,28403.0,6,6.0
40741,KY,23327.0,6,6.0
80260,CO,36691.0,6,6.0
98661,WA,48983.0,6,6.0
27609,NC,36218.0,6,6.0
93728,CA,16191.0,6,6.0
90024,CA,52862.0,6,6.0
92646,CA,56788.0,6,6.0
92270,CA,16999.0,6,6.0
43123,OH,66188.0,6,6.0
43206,OH,21594.0,6,6.0
80215,CO,19908.0,6,6.0
84107,UT,37713.0,6,6.0
81052,CO,9142.0,6,6.0
70809,LA,25302.0,6,6.0
33309,FL,37642.0,6,6.0
23662,VA,12460.0,6,6.0
07753,NJ,37397.0,6,6.0
70433,LA,41423.0,6,6.0
44515,OH,27480.0,6,6.0
60473,IL,21661.0,6,6.0
21401,MD,39308.0,6,6.0
21244,MD,38015.0,6,6.0
91403,CA,25329.0,6,6.0
91402,CA,70140.0,6,6.0
20019,DC,59601.0,6,6.0
85008,AZ,59047.0,6,6.0
55411,MN,31214.0,6,6.0
59102,MT,48133.0,6,6.0
42701,KY,52731.0,6,6.0
60616,IL,54013.0,6,6.0
02860,RI,47894.0,6,6.0
43213,OH,35105.0,6,6.0
93301,CA,14518.0,6,6.0
44115,OH,8985.0,6,6.0
21921,MD,44983.0,6,6.0
60123,IL,47932.0,6,6.0
21617,MD,10719.0,6,6.0
21040,MD,25138.0,6,6.0
33308,FL,29519.0,6,6.0
79106,TX,27692.0,6,6.0
79902,TX,20071.0,6,6.0
21093,MD,38677.0,6,6.0
60120,IL,50799.0,6,6.0
21045,MD,39321.0,6,6.0
91406,CA,53252.0,6,6.0
43229,OH,54310.0,6,6.0
55337,MN,47333.0,6,6.0
33406,FL,27663.0,6,6.0
80751,CO,17702.0,6,6.0
92024,CA,51190.0,6,6.0
89102,NV,36035.0,6,6.0
80112,CO,35713.0,6,6.0
84057,UT,38401.0,6,6.0
59401,MT,13030.0,6,6.0
85206,AZ,36713.0,6,6.0
43068,OH,59585.0,6,6.0
58401,ND,17847.0,5,5.0
37601,TN,37079.0,5,5.0
93701,CA,12037.0,5,5.0
44120,OH,34611.0,5,5.0
92121,CA,4658.0,5,5.0
90069,CA,20584.0,5,5.0
93401,CA,29877.0,5,5.0
93212,CA,23138.0,5,5.0
90222,CA,32397.0,5,5.0
90025,CA,45466.0,5,5.0
20001,DC,49040.0,5,5.0
20032,DC,38904.0,5,5.0
61201,IL,37366.0,5,5.0
61820,IL,40822.0,5,5.0
