zipcode,state,population,is_multispecialty_clinic_per_100k,is_multispecialty_clinic_per_100k_capped_viz
85012,AZ,8201.0,365.8090476771125,34.62916209416987
90211,CA,8260.0,266.3438256658596,34.62916209416987
82201,WY,6395.0,203.28381548084442,34.62916209416987
12414,NY,10163.0,186.95267145527896,34.62916209416987
12534,NY,17539.0,171.04738012429442,34.62916209416987
12184,NY,7178.0,167.17748676511562,34.62916209416987
63110,MO,18199.0,142.86499258201,34.62916209416987
85006,AZ,23797.0,126.06631087952263,34.62916209416987
33144,FL,25814.0,116.21600681800572,34.62916209416987
41501,KY,22636.0,110.44354126170703,34.62916209416987
12208,NY,22118.0,108.50890677276428,34.62916209416987
40202,KY,7179.0,97.50661652040675,34.62916209416987
41240,KY,6279.0,95.55661729574773,34.62916209416987
82240,WY,9689.0,92.88884301785531,34.62916209416987
21201,MD,18382.0,92.48177565009249,34.62916209416987
36604,AL,8798.0,90.92975676290067,34.62916209416987
12204,NY,7818.0,89.53696597595292,34.62916209416987
63127,MO,5642.0,88.62105636299185,34.62916209416987
80538,CO,49084.0,85.56759840273817,34.62916209416987
80751,CO,17702.0,84.73618800135579,34.62916209416987
80723,CO,7092.0,84.60236886632825,34.62916209416987
33166,FL,26106.0,80.44127786715697,34.62916209416987
85258,AZ,25203.0,79.35563226600007,34.62916209416987
85004,AZ,8833.0,79.24827351975546,34.62916209416987
80631,CO,52336.0,78.33995719963315,34.62916209416987
81657,CO,5114.0,78.21666014861165,34.62916209416987
99701,AK,18357.0,76.26518494307349,34.62916209416987
33542,FL,22649.0,75.05850147909399,34.62916209416987
39819,GA,12117.0,74.27581084426838,34.62916209416987
39520,MS,14963.0,73.51466951814476,34.62916209416987
82401,WY,7001.0,71.4183688044565,34.62916209416987
36617,AL,11408.0,70.12622720897616,34.62916209416987
99503,AK,13550.0,66.42066420664206,34.62916209416987
89146,NV,19777.0,65.73292208120544,34.62916209416987
55101,MN,7788.0,64.20133538777607,34.62916209416987
63141,MO,21995.0,63.65082973403047,34.62916209416987
99559,AK,7985.0,62.61740763932373,34.62916209416987
33544,FL,27309.0,62.25054011498041,34.62916209416987
98104,WA,16157.0,61.89267809618123,34.62916209416987
33155,FL,43695.0,61.79196704428424,34.62916209416987
81632,CO,11343.0,61.712069117517416,34.62916209416987
57785,SD,9895.0,60.6366851945427,34.62916209416987
35968,AL,5115.0,58.651026392961874,34.62916209416987
81425,CO,5120.0,58.59375,34.62916209416987
95202,CA,6949.0,57.562239171103755,34.62916209416987
30326,GA,8729.0,57.28032993470042,34.62916209416987
99204,WA,7000.0,57.142857142857146,34.62916209416987
78834,TX,7061.0,56.649199830052396,34.62916209416987
33607,FL,24767.0,56.52683005612307,34.62916209416987
31201,GA,8882.0,56.293627561360054,34.62916209416987
57783,SD,16165.0,55.675842870399016,34.62916209416987
90010,CA,5400.0,55.55555555555556,34.62916209416987
39232,MS,9052.0,55.2364118426867,34.62916209416987
33135,FL,36232.0,55.19982336056525,34.62916209416987
31719,GA,9335.0,53.56186395286556,34.62916209416987
85378,AZ,9368.0,53.3731853116994,34.62916209416987
12206,NY,17219.0,52.26784366107207,34.62916209416987
10461,NY,54901.0,51.00089251561902,34.62916209416987
60173,IL,13764.0,50.85730892182505,34.62916209416987
69153,NE,5914.0,50.72708826513358,34.62916209416987
34994,FL,17843.0,50.43994843916382,34.62916209416987
15222,PA,5976.0,50.2008032128514,34.62916209416987
81620,CO,10038.0,49.810719266786215,34.62916209416987
95467,CA,6031.0,49.7429945282706,34.62916209416987
81621,CO,6034.0,49.71826317533974,34.62916209416987
97227,OR,6058.0,49.52129415648729,34.62916209416987
07922,NJ,12311.0,48.736901957598896,34.62916209416987
54403,WI,24712.0,48.559404337973454,34.62916209416987
75001,TX,16528.0,48.4027105517909,34.62916209416987
98902,WA,47589.0,48.33049654331884,34.62916209416987
27013,NC,6257.0,47.946300143838904,34.62916209416987
36607,AL,6264.0,47.89272030651341,34.62916209416987
33173,FL,33648.0,47.551117451260104,34.62916209416987
91203,CA,16930.0,47.25339633786179,34.62916209416987
77380,TX,27651.0,47.01457451810061,34.62916209416987
32204,FL,8673.0,46.12014297244321,34.62916209416987
91436,CA,15189.0,46.08598327737178,34.62916209416987
97232,OR,15382.0,45.50773631517358,34.62916209416987
33431,FL,22047.0,45.357645031069985,34.62916209416987
77701,TX,13232.0,45.34461910519952,34.62916209416987
80907,CO,28806.0,45.1294869124488,34.62916209416987
25701,WV,22342.0,44.75875033569063,34.62916209416987
80222,CO,22381.0,44.6807559983915,34.62916209416987
81631,CO,9017.0,44.36065210158589,34.62916209416987
33134,FL,38739.0,43.88342497225019,34.62916209416987
33613,FL,38801.0,43.81330378083039,34.62916209416987
98942,WA,18511.0,43.21754632380747,34.62916209416987
95816,CA,18606.0,42.99688272600236,34.62916209416987
93110,CA,16317.0,42.9000429000429,34.62916209416987
78539,TX,37686.0,42.45608448760813,34.62916209416987
80634,CO,65980.0,42.43710215216732,34.62916209416987
55435,MN,14170.0,42.34297812279464,34.62916209416987
95817,CA,14270.0,42.04625087596356,34.62916209416987
39525,MS,9537.0,41.94191045402118,34.62916209416987
80461,CO,7196.0,41.68982768204558,34.62916209416987
60415,IL,14433.0,41.57139887757223,34.62916209416987
15825,PA,9629.0,41.54117769238758,34.62916209416987
92660,CA,36259.0,41.36903941090488,34.62916209416987
24614,VA,7252.0,41.36789851075565,34.62916209416987
93301,CA,14518.0,41.328006612481055,34.62916209416987
33805,FL,26954.0,40.8102693477777,34.62916209416987
77478,TX,24536.0,40.75643951744376,34.62916209416987
85381,AZ,27008.0,40.72867298578199,34.62916209416987
99508,AK,34394.0,40.70477408850381,34.62916209416987
53097,WI,7380.0,40.65040650406504,34.62916209416987
33145,FL,29737.0,40.35376803309009,34.62916209416987
10017,NY,17401.0,40.22757312798115,34.62916209416987
96813,HI,27372.0,40.1870524623703,34.62916209416987
94403,CA,45057.0,39.9493974299221,34.62916209416987
19102,PA,7568.0,39.64059196617336,34.62916209416987
73103,OK,5046.0,39.635354736424894,34.62916209416987
28801,NC,15148.0,39.60918933192501,34.62916209416987
28771,NC,7581.0,39.57261574990107,34.62916209416987
78014,TX,5078.0,39.38558487593541,34.62916209416987
86040,AZ,10179.0,39.296591020728954,34.62916209416987
54409,WI,12827.0,38.98027598035394,34.62916209416987
60523,IL,10347.0,38.65854837150865,34.62916209416987
47635,IN,5178.0,38.62495171881035,34.62916209416987
90021,CA,5192.0,38.52080123266564,34.62916209416987
80487,CO,18209.0,38.44252842001208,34.62916209416987
97210,OR,13016.0,38.41425937307928,34.62916209416987
