zipcode,state,population,combined_all_facilities_per_100k,combined_all_facilities_per_100k_capped_viz
90265,CA,15186.0,441.1958382720928,73.50673643989427
85012,AZ,8201.0,402.38995244482385,73.50673643989427
90211,CA,8260.0,338.9830508474576,73.50673643989427
21201,MD,18382.0,337.2864759003373,73.50673643989427
21202,MD,22247.0,305.6591900031465,73.50673643989427
33483,FL,13103.0,274.7462413187819,73.50673643989427
21217,MD,30448.0,256.17446137677354,73.50673643989427
92624,CA,7170.0,251.0460251046025,73.50673643989427
21216,MD,27729.0,241.62429225720365,73.50673643989427
82201,WY,6395.0,234.55824863174357,73.50673643989427
07102,NJ,15047.0,232.60450588157107,73.50673643989427
21032,MD,9180.0,228.75816993464053,73.50673643989427
92352,CA,7038.0,227.3373117362887,73.50673643989427
33407,FL,34558.0,222.8138202442271,73.50673643989427
21205,MD,14691.0,211.01354570825674,73.50673643989427
85034,AZ,5033.0,198.6886548778065,73.50673643989427
21215,MD,54198.0,190.04391305952248,73.50673643989427
12414,NY,10163.0,186.95267145527896,73.50673643989427
99701,AK,18357.0,185.21544914746417,73.50673643989427
85258,AZ,25203.0,182.51795421180017,73.50673643989427
21218,MD,46238.0,181.66875729919116,73.50673643989427
34994,FL,17843.0,179.3420388948047,73.50673643989427
86305,AZ,19555.0,178.98235745333673,73.50673643989427
12534,NY,17539.0,176.7489594617709,73.50673643989427
48208,MI,8090.0,173.053152039555,73.50673643989427
41501,KY,22636.0,167.87418271779467,73.50673643989427
12184,NY,7178.0,167.17748676511562,73.50673643989427
21727,MD,6593.0,166.8436220233581,73.50673643989427
21213,MD,28217.0,166.56625438565405,73.50673643989427
33316,FL,12669.0,165.75893914278947,73.50673643989427
33408,FL,18965.0,163.4590034273662,73.50673643989427
92660,CA,36259.0,159.96028572216554,73.50673643989427
21231,MD,17062.0,152.38541788770368,73.50673643989427
63110,MO,18199.0,148.35979998901038,73.50673643989427
89146,NV,19777.0,146.63498002730444,73.50673643989427
33403,FL,13779.0,145.1484142535743,73.50673643989427
92663,CA,20812.0,144.14760714972132,73.50673643989427
41240,KY,6279.0,143.3349259436216,73.50673643989427
33409,FL,33061.0,142.1614591210187,73.50673643989427
28801,NC,15148.0,138.6321626617375,73.50673643989427
60607,IL,31816.0,138.29519738496353,73.50673643989427
91436,CA,15189.0,138.25794983211534,73.50673643989427
91356,CA,30664.0,136.96843203756848,73.50673643989427
33445,FL,32265.0,136.3706803037347,73.50673643989427
21286,MD,21470.0,135.0721937587331,73.50673643989427
85006,AZ,23797.0,134.47073160482412,73.50673643989427
80631,CO,52336.0,133.75114643839805,73.50673643989427
92675,CA,35203.0,133.5113484646195,73.50673643989427
21223,MD,20438.0,132.10685977101477,73.50673643989427
92627,CA,61764.0,131.1443559354964,73.50673643989427
95202,CA,6949.0,129.51503813498346,73.50673643989427
92651,CA,24096.0,128.65205843293492,73.50673643989427
40202,KY,7179.0,125.36564981195151,73.50673643989427
36604,AL,8798.0,125.02841554898842,73.50673643989427
85004,AZ,8833.0,124.53300124533001,73.50673643989427
80751,CO,17702.0,124.27974240198847,73.50673643989427
21229,MD,43464.0,124.24075096631695,73.50673643989427
44115,OH,8985.0,122.42626599888702,73.50673643989427
55114,MN,5012.0,119.71268954509178,73.50673643989427
86301,AZ,25115.0,119.45052757316346,73.50673643989427
99503,AK,13550.0,118.08118081180812,73.50673643989427
12208,NY,22118.0,117.55131567049462,73.50673643989427
33144,FL,25814.0,116.21600681800572,73.50673643989427
55101,MN,7788.0,115.56240369799693,73.50673643989427
33426,FL,25155.0,115.28523156430133,73.50673643989427
84111,UT,12162.0,115.11264594639039,73.50673643989427
91302,CA,25468.0,113.86838385424848,73.50673643989427
21214,MD,19344.0,113.73035566583955,73.50673643989427
91367,CA,46498.0,111.83276700073121,73.50673643989427
90010,CA,5400.0,111.11111111111111,73.50673643989427
33444,FL,22671.0,110.27303603722818,73.50673643989427
81052,CO,9142.0,109.38525486764385,73.50673643989427
33462,FL,33982.0,108.8811723853805,73.50673643989427
33401,FL,31302.0,108.61925755542778,73.50673643989427
10018,NY,11145.0,107.67160161507401,73.50673643989427
91364,CA,27071.0,107.12570647556426,73.50673643989427
71101,LA,6560.0,106.70731707317074,73.50673643989427
71201,LA,21565.0,106.65430095061443,73.50673643989427
81001,CO,31107.0,106.08544700549714,73.50673643989427
21206,MD,49470.0,105.11421063270669,73.50673643989427
21237,MD,31477.0,104.8384534739651,73.50673643989427
92629,CA,25939.0,104.09036585835999,73.50673643989427
82240,WY,9689.0,103.20982557539477,73.50673643989427
92648,CA,46691.0,102.80353815510485,73.50673643989427
81101,CO,15657.0,102.19071341891805,73.50673643989427
21212,MD,32317.0,102.11343874740848,73.50673643989427
90069,CA,20584.0,102.02098717450447,73.50673643989427
21613,MD,17967.0,100.18367006177994,73.50673643989427
99204,WA,7000.0,100.0,73.50673643989427
82401,WY,7001.0,99.9857163262391,73.50673643989427
50129,IA,5040.0,99.2063492063492,73.50673643989427
97227,OR,6058.0,99.04258831297459,73.50673643989427
92626,CA,50885.0,98.26078412105728,73.50673643989427
81657,CO,5114.0,97.77082518576458,73.50673643989427
21225,MD,34138.0,96.6664713808659,73.50673643989427
93301,CA,14518.0,96.43201542912247,73.50673643989427
23662,VA,12460.0,96.30818619582665,73.50673643989427
21801,MD,31183.0,96.20626623480743,73.50673643989427
24016,VA,9371.0,96.04097748372638,73.50673643989427
33431,FL,22047.0,95.25105456524697,73.50673643989427
33308,FL,29519.0,94.85416172634575,73.50673643989427
41230,KY,12670.0,94.71191791633781,73.50673643989427
92262,CA,26593.0,94.00970180122589,73.50673643989427
80538,CO,49084.0,93.71689348871323,73.50673643989427
82301,WY,8539.0,93.68778545497132,73.50673643989427
97205,OR,8593.0,93.09903409752124,73.50673643989427
81082,CO,12026.0,91.46848494927657,73.50673643989427
95817,CA,14270.0,91.10021023125438,73.50673643989427
63141,MO,21995.0,90.92975676290067,73.50673643989427
90290,CA,6640.0,90.36144578313254,73.50673643989427
92653,CA,30077.0,89.76959138211922,73.50673643989427
12204,NY,7818.0,89.53696597595292,73.50673643989427
63127,MO,5642.0,88.62105636299185,73.50673643989427
39232,MS,9052.0,88.37825894829872,73.50673643989427
81632,CO,11343.0,88.1600987393106,73.50673643989427
93609,CA,5694.0,87.81173164734808,73.50673643989427
62363,IL,5726.0,87.32099196646874,73.50673643989427
21208,MD,35007.0,85.69714628502871,73.50673643989427
80723,CO,7092.0,84.60236886632825,73.50673643989427
85260,AZ,37967.0,84.2837200726947,73.50673643989427
15222,PA,5976.0,83.66800535475234,73.50673643989427
43205,OH,12044.0,83.02889405513119,73.50673643989427
04101,ME,18109.0,82.83174112319841,73.50673643989427
41653,KY,10937.0,82.28947609033557,73.50673643989427
12206,NY,17219.0,81.3055345838899,73.50673643989427
57785,SD,9895.0,80.84891359272359,73.50673643989427
91301,CA,24790.0,80.67769261799113,73.50673643989427
33166,FL,26106.0,80.44127786715697,73.50673643989427
90210,CA,21134.0,80.43910286741743,73.50673643989427
34952,FL,42630.0,79.75604034717335,73.50673643989427
21601,MD,23945.0,79.34850699519733,73.50673643989427
31201,GA,8882.0,78.81107858590408,73.50673643989427
92708,CA,57192.0,78.68233319345363,73.50673643989427
33461,FL,47161.0,78.45465532961558,73.50673643989427
18101,PA,5108.0,78.30853563038372,73.50673643989427
48503,MI,21743.0,78.18608287724786,73.50673643989427
97232,OR,15382.0,78.01326225458328,73.50673643989427
08734,NJ,7702.0,77.90184367696703,73.50673643989427
21157,MD,38584.0,77.75243624300228,73.50673643989427
90021,CA,5192.0,77.04160246533128,73.50673643989427
68102,NE,9130.0,76.67031763417306,73.50673643989427
23517,VA,5237.0,76.37960664502577,73.50673643989427
08068,NJ,6628.0,75.43753771876885,73.50673643989427
90048,CA,22604.0,75.20792780038931,73.50673643989427
33062,FL,25293.0,75.1195983078322,73.50673643989427
33542,FL,22649.0,75.05850147909399,73.50673643989427
19004,PA,10668.0,74.99062617172854,73.50673643989427
89102,NV,36035.0,74.92715415568198,73.50673643989427
93701,CA,12037.0,74.76946082911024,73.50673643989427
85378,AZ,9368.0,74.72245943637915,73.50673643989427
91324,CA,29500.0,74.57627118644068,73.50673643989427
98402,WA,8053.0,74.50639513224884,73.50673643989427
41175,KY,5378.0,74.37709185570844,73.50673643989427
39819,GA,12117.0,74.27581084426838,73.50673643989427
84107,UT,37713.0,74.24495532044652,73.50673643989427
39520,MS,14963.0,73.51466951814476,73.50673643989427
08755,NJ,28643.0,73.31634256188248,73.31634256188248
91316,CA,28777.0,72.97494526879105,72.97494526879105
