zipcode,state,population,is_multispecialty_clinic,is_multispecialty_clinic_capped_viz
21702,MD,46412.0,7,7.0
78258,TX,51073.0,7,7.0
10017,NY,17401.0,7,7.0
30084,GA,41654.0,7,7.0
93436,CA,56730.0,7,7.0
91436,CA,15189.0,7,7.0
60646,IL,28383.0,7,7.0
76012,TX,27080.0,7,7.0
80014,CO,41711.0,7,7.0
82001,WY,37528.0,7,7.0
21117,MD,59154.0,7,7.0
12144,NY,21277.0,7,7.0
33172,FL,43911.0,7,7.0
32308,FL,23355.0,7,7.0
23320,VA,60412.0,7,7.0
27609,NC,36218.0,7,7.0
21401,MD,39308.0,7,7.0
60504,IL,38901.0,7,7.0
80111,CO,32672.0,7,7.0
97232,OR,15382.0,7,7.0
93454,CA,40994.0,7,7.0
20850,MD,51045.0,7,7.0
60173,IL,13764.0,7,7.0
77057,TX,43669.0,7,7.0
85711,AZ,41518.0,7,7.0
72501,AR,26444.0,7,7.0
34741,FL,56454.0,7,7.0
30101,GA,61989.0,7,7.0
98115,WA,54322.0,7,7.0
33803,FL,29082.0,7,7.0
60540,IL,44201.0,7,7.0
90048,CA,22604.0,7,7.0
77079,TX,36404.0,7,7.0
35801,AL,22539.0,7,7.0
86001,AZ,37093.0,7,7.0
60506,IL,52011.0,7,7.0
29579,SC,50378.0,7,7.0
62269,IL,36068.0,7,7.0
85255,AZ,44976.0,7,7.0
33445,FL,32265.0,7,7.0
97301,OR,56393.0,7,7.0
85004,AZ,8833.0,7,7.0
85301,AZ,67380.0,7,7.0
74135,OK,20173.0,7,7.0
21601,MD,23945.0,7,7.0
33018,FL,54273.0,7,7.0
33140,FL,19315.0,7,7.0
42701,KY,52731.0,7,7.0
93110,CA,16317.0,7,7.0
21204,MD,20967.0,7,7.0
10456,NY,93412.0,7,7.0
85282,AZ,52351.0,7,7.0
37027,TN,61370.0,7,7.0
59102,MT,48133.0,7,7.0
65109,MO,39730.0,7,7.0
33015,FL,65645.0,7,7.0
40202,KY,7179.0,7,7.0
85745,AZ,36774.0,7,7.0
56303,MN,27305.0,7,7.0
40218,KY,33437.0,7,7.0
30067,GA,47653.0,7,7.0
92626,CA,50885.0,7,7.0
33020,FL,45044.0,7,7.0
33160,FL,44085.0,7,7.0
92108,CA,24266.0,7,7.0
75038,TX,32928.0,7,7.0
80487,CO,18209.0,7,7.0
81632,CO,11343.0,7,7.0
02895,RI,43269.0,7,7.0
85050,AZ,31591.0,7,7.0
29203,SC,39449.0,7,7.0
63108,MO,23603.0,7,7.0
33458,FL,55083.0,7,7.0
33125,FL,53507.0,7,7.0
89074,NV,52243.0,7,7.0
33122,FL,2126.0,7,7.0
31602,GA,35999.0,7,7.0
85044,AZ,39559.0,7,7.0
84094,UT,28751.0,7,7.0
28403,NC,38134.0,7,7.0
11229,NY,83669.0,7,7.0
12204,NY,7818.0,7,7.0
78745,TX,59843.0,6,6.0
33180,FL,35062.0,6,6.0
27103,NC,36023.0,6,6.0
94025,CA,42354.0,6,6.0
95817,CA,14270.0,6,6.0
99501,AK,18590.0,6,6.0
98109,WA,34551.0,6,6.0
40509,KY,44572.0,6,6.0
40216,KY,43434.0,6,6.0
30078,GA,38350.0,6,6.0
40241,KY,31016.0,6,6.0
29678,SC,23700.0,6,6.0
29605,SC,36970.0,6,6.0
90066,CA,55304.0,6,6.0
74012,OK,63918.0,6,6.0
91730,CA,68883.0,6,6.0
77701,TX,13232.0,6,6.0
80701,CO,16101.0,6,6.0
40207,KY,30104.0,6,6.0
28906,NC,19896.0,6,6.0
82601,WY,27180.0,6,6.0
34711,FL,67980.0,6,6.0
30096,GA,69953.0,6,6.0
78731,TX,27240.0,6,6.0
21202,MD,22247.0,6,6.0
28801,NC,15148.0,6,6.0
28054,NC,40548.0,6,6.0
20190,VA,20957.0,6,6.0
75605,TX,32909.0,6,6.0
27834,NC,55051.0,6,6.0
77459,TX,79731.0,6,6.0
11385,NY,100883.0,6,6.0
20002,DC,69422.0,6,6.0
84020,UT,51017.0,6,6.0
11223,NY,83519.0,6,6.0
11226,NY,101727.0,6,6.0
28304,NC,37120.0,6,6.0
28803,NC,34108.0,6,6.0
30329,GA,29506.0,6,6.0
55435,MN,14170.0,6,6.0
89032,NV,47324.0,6,6.0
93301,CA,14518.0,6,6.0
94598,CA,26826.0,6,6.0
34639,FL,28165.0,6,6.0
89052,NV,59987.0,6,6.0
41240,KY,6279.0,6,6.0
37919,TN,30822.0,6,6.0
30338,GA,37650.0,6,6.0
23606,VA,31684.0,6,6.0
98052,WA,77176.0,6,6.0
90036,CA,39549.0,6,6.0
80108,NJ,32188.0,6,6.0
80550,CO,38909.0,6,6.0
86004,AZ,38451.0,6,6.0
33813,FL,36448.0,6,6.0
44515,OH,27480.0,6,6.0
92663,CA,20812.0,6,6.0
95670,CA,57988.0,6,6.0
23294,VA,18538.0,6,6.0
44122,OH,36268.0,6,6.0
21045,MD,39321.0,6,6.0
90292,CA,27681.0,6,6.0
10462,NY,84655.0,6,6.0
21239,MD,26605.0,6,6.0
80723,CO,7092.0,6,6.0
87110,NM,38441.0,6,6.0
85225,AZ,73551.0,6,6.0
86305,AZ,19555.0,6,6.0
93103,CA,20029.0,6,6.0
42071,KY,29703.0,6,6.0
60515,IL,29278.0,6,6.0
33907,FL,24980.0,6,6.0
60611,IL,38456.0,6,6.0
78041,TX,48491.0,6,6.0
60640,IL,65941.0,6,6.0
92037,CA,41260.0,6,6.0
33880,FL,42005.0,6,6.0
57785,SD,9895.0,6,6.0
29464,SC,51287.0,6,6.0
85350,AZ,18486.0,6,6.0
07922,NJ,12311.0,6,6.0
87109,NM,40740.0,6,6.0
21061,MD,57352.0,6,6.0
96814,HI,24870.0,6,6.0
89801,NV,26250.0,6,6.0
85251,AZ,40073.0,6,6.0
70503,LA,27497.0,6,6.0
93720,CA,47814.0,6,6.0
77084,TX,109808.0,6,6.0
54904,WI,21828.0,6,6.0
33009,FL,43301.0,6,6.0
33618,FL,26474.0,6,6.0
63368,MO,46007.0,6,6.0
59101,MT,41522.0,6,6.0
10003,NY,57076.0,6,6.0
10004,NY,4287.0,6,6.0
85022,AZ,51314.0,6,6.0
21218,MD,46238.0,6,6.0
59801,MT,30629.0,6,6.0
60018,IL,30051.0,6,6.0
33161,FL,53015.0,6,6.0
27401,NC,21854.0,6,6.0
27410,NC,54968.0,6,6.0
22601,VA,29720.0,6,6.0
32960,FL,21522.0,6,6.0
76092,TX,31924.0,6,6.0
75601,TX,15813.0,6,6.0
80534,CO,18785.0,6,6.0
19901,DE,36839.0,6,6.0
95128,CA,34776.0,6,6.0
80033,CO,26618.0,6,6.0
63401,MO,21901.0,6,6.0
38119,TN,23997.0,6,6.0
77090,TX,42285.0,6,6.0
60415,IL,14433.0,6,6.0
93013,CA,16299.0,6,6.0
93254,CA,780.0,6,6.0
78249,TX,56996.0,6,6.0
33321,FL,51011.0,6,6.0
33324,FL,46766.0,6,6.0
33026,FL,30510.0,6,6.0
33309,FL,37642.0,6,6.0
32701,FL,23265.0,6,6.0
77494,TX,130872.0,6,6.0
77401,TX,17219.0,6,6.0
78209,TX,42456.0,6,6.0
60615,IL,43502.0,6,6.0
33131,FL,26213.0,6,6.0
33063,FL,56296.0,6,6.0
89406,NV,25204.0,6,6.0
85210,AZ,40351.0,6,6.0
97211,OR,33762.0,6,6.0
85027,AZ,38343.0,6,6.0
93291,CA,63366.0,6,6.0
10466,NY,70420.0,6,6.0
92121,CA,4658.0,6,6.0
75024,TX,45469.0,6,6.0
76015,TX,17185.0,5,5.0
78577,TX,79937.0,5,5.0
33578,FL,58854.0,5,5.0
36609,AL,24265.0,5,5.0
33169,FL,42308.0,5,5.0
33027,FL,63726.0,5,5.0
85351,AZ,29795.0,5,5.0
90027,CA,44471.0,5,5.0
80045,CO,1278.0,5,5.0
16652,PA,15955.0,5,5.0
78501,TX,60817.0,5,5.0
91316,CA,28777.0,5,5.0
92618,CA,57488.0,5,5.0
33313,FL,63284.0,5,5.0
28358,NC,32865.0,5,5.0
33130,FL,35609.0,5,5.0
33317,FL,37590.0,5,5.0
33401,FL,31302.0,5,5.0
95204,CA,30719.0,5,5.0
80124,CO,22541.0,5,5.0
80026,CO,32318.0,5,5.0
85710,AZ,57381.0,5,5.0
80501,CO,42822.0,5,5.0
