zipcode,state,population,is_substance_abuse_rehab,is_substance_abuse_rehab_capped_viz
85338,AZ,59313.0,8,8.0
84111,UT,12162.0,8,8.0
91606,CA,43955.0,8,8.0
80012,CO,49897.0,8,8.0
91342,CA,96429.0,8,8.0
85037,AZ,50929.0,8,8.0
89117,NV,57497.0,8,8.0
85225,AZ,73551.0,8,8.0
68701,NE,31257.0,8,8.0
91436,CA,15189.0,8,8.0
85020,AZ,34534.0,8,8.0
41230,KY,12670.0,8,8.0
93534,CA,43906.0,8,8.0
55404,MN,29322.0,8,8.0
04401,ME,44608.0,8,8.0
90210,CA,21134.0,8,8.0
84065,UT,49295.0,8,8.0
92562,CA,64270.0,8,8.0
55408,MN,33718.0,8,8.0
89121,NV,68692.0,8,8.0
33411,FL,74206.0,7,7.0
32250,FL,30080.0,7,7.0
97103,OR,18080.0,7,7.0
32216,FL,42847.0,7,7.0
95823,CA,81212.0,7,7.0
85043,AZ,35800.0,7,7.0
92683,CA,90946.0,7,7.0
80011,CO,54254.0,7,7.0
90291,CA,28442.0,7,7.0
21613,MD,17967.0,7,7.0
90813,CA,54565.0,7,7.0
55117,MN,44525.0,7,7.0
80631,CO,52336.0,7,7.0
60644,IL,47239.0,7,7.0
95060,CA,47931.0,7,7.0
85719,AZ,46242.0,7,7.0
92582,CA,21161.0,7,7.0
85206,AZ,36713.0,7,7.0
91607,CA,30502.0,7,7.0
40351,KY,22305.0,7,7.0
90670,CA,17761.0,7,7.0
99654,AK,40726.0,7,7.0
40601,KY,52133.0,7,7.0
90604,CA,40110.0,7,7.0
55104,MN,45612.0,7,7.0
61108,IL,29660.0,7,7.0
91104,CA,34707.0,7,7.0
21228,MD,50418.0,7,7.0
86314,AZ,39461.0,7,7.0
80215,CO,19908.0,7,7.0
21211,MD,17721.0,7,7.0
90004,CA,58585.0,7,7.0
85021,AZ,40943.0,7,7.0
07094,NJ,22181.0,7,7.0
80016,CO,65406.0,7,7.0
95667,CA,37283.0,7,7.0
45662,OH,27718.0,7,7.0
21061,MD,57352.0,7,7.0
94103,CA,37843.0,7,7.0
45417,OH,28079.0,7,7.0
95126,CA,37372.0,7,7.0
21239,MD,26605.0,7,7.0
07728,NJ,56444.0,7,7.0
95662,CA,32688.0,7,7.0
21502,MD,41153.0,7,7.0
85018,AZ,37944.0,7,7.0
72204,AR,31564.0,7,7.0
20785,MD,41636.0,7,7.0
85086,AZ,43223.0,7,7.0
68102,NE,9130.0,7,7.0
95825,CA,36081.0,6,6.0
12572,NY,9258.0,6,6.0
33060,FL,35793.0,6,6.0
